Wikidata-Link,Name
Brandenburg,http://www.wikidata.org/entity/Q6109,Q6109
Brandenburg,http://www.wikidata.org/entity/Q6115,Q6115
Brandenburg,http://www.wikidata.org/entity/Q6119,Q6119
Brandenburg,http://www.wikidata.org/entity/Q6125,Q6125
Brandenburg,http://www.wikidata.org/entity/Q6132,Q6132
Brandenburg,http://www.wikidata.org/entity/Q6139,Q6139
Brandenburg,http://www.wikidata.org/entity/Q6142,Q6142
Brandenburg,http://www.wikidata.org/entity/Q6146,Q6146
Brandenburg,http://www.wikidata.org/entity/Q6152,Q6152
Brandenburg,http://www.wikidata.org/entity/Q6156,Q6156
Brandenburg,http://www.wikidata.org/entity/Q6165,Q6165
Brandenburg,http://www.wikidata.org/entity/Q6173,Q6173
Brandenburg,http://www.wikidata.org/entity/Q6178,Q6178
Brandenburg,http://www.wikidata.org/entity/Q6181,Q6181
