ID,Name,Häufigkeit
Q134626,Kreisstadt,261
Q42744322,Stadt in Deutschland,1882
Q448801,Große Kreisstadt,79
Q116457956,Gemeinde in Deutschland ohne Stadtrechte,8047
Q15303838,Sitz der Gemeindeverwaltung,9
Q253019,Unbekannt,106
Q378636,Kirchdorf,2
Q532,Dorf,20
Q2520755,Verwaltungsverband,8
Q3957,Kleinstadt,297
Q1547289,Lutherstadt,9
Q1526889,Moorheilbad,16
Q19730508,ehemalige Gemeinde,4
Q6882870,Heilbad,77
Q515,Stadt,47
Q486972,Siedlung,67
Q317548,Erholungsort,15
Q902814,Grenzstadt,59
Q1375749,Europastadt,5
Q67123843,durch eine Grenze geteilte Stadt,3
Q4946461,Kurort,64
Q1401585,Mittelzentrum,19
Q15974307,Einheitsgemeinde in Deutschland,24
Q22865,kreisfreie Stadt in Deutschland,1
Q12350930,Kneippkurort,36
Q820254,Bergbaustadt,36
Q253030,Oberzentrum,8
Q1662118,Industriestadt,1
Q707813,Hansestadt,115
Q1307779,Einheitsgemeinde,5
Q2513989,Verbandsgemeinde in Sachsen-Anhalt,11
Q11732217,Flecken,49
Q15284,Gemeinde,11
Q1180262,Residenzstadt,13
Q2264955,Seeheilbad,35
Q3257686,Ortschaft,8
Q478847,Amt,196
Q125622160,Hallig,1
Q1021711,Seebad,36
Q106259,Polder,6
Q2264924,Hafenstadt,6
Q1595408,Heilklimatischer Kurort,39
Q990488,Luftkurort,30
Q15974311,gemeindefreies Gebiet in Deutschland,216
Q4421,Wald,18
Q33837,Archipel,1
Q64953083,car-free place,7
Q1187811,Universitätsstadt,14
Q14784328,Landeshauptstadt,2
Q1549591,Großstadt,14
Q41778911,Ortsgemeinde in Rheinland-Pfalz,14
Q1548518,Große kreisangehörige Stadt,45
Q2556234,Weinort,13
Q1351672,Fremdenverkehrsgemeinde,1
Q692680,Ortsgemeinde,3
Q54935786,Mittlere kreisangehörige Stadt,139
Q1782540,Eisenbahnerstadt,7
Q2221906,geographische Lage,1
Q399445,Amt,2
Q1074523,Planstadt,1
Q2305818,Sozialistische Stadt,1
Q13220204,Verwaltungseinheit zweiter Ebene,4
Q64578911,ehemaliges Krankenhaus,1
Q1780389,Kommunalverband besonderer Art,3
Q57318,Freie und Reichsstadt,13
Q85635630,kreisfreie Stadt in Nordrhein-Westfalen,1
Q1585560,Städtefusion,3
Q3678424,Sonderstatusstadt,7
Q562061,Marktgemeinde,5
Q1269749,Landstadt,3
Q896881,Mittelstadt,3
Q1499928,Gemarkung,61
Q26879763,Napoleonischer Satellitenstaat,1
Q1650922,Landgemeinde,18
Q16546985,Erfüllende Gemeinde Heringen/Helme,1
Q61747322,kreisfreie Stadt in Thüringen,1
Q16547098,Erfüllende Gemeinde Südeichsfeld,1
Q798618,Bad,1
Q1548525,große selbständige Stadt,7
Q11183787,Ortschaft,6
Q123705,Ortsteil,2
Q2267870,Selbständige Gemeinde,59
Q1432253,Unterzentrum,7
Q837766,Gebietskörperschaft,1
Q262166,Gemeinde in Deutschland,1
Q85635929,kreisfreie Stadt in Niedersachsen,1
Q13539802,Stadtgemeinde,1
Q75762,Zamenhof-Esperanto-Objekt,1
Q100341898,Markt in Deutschland,382
Q1815926,Leistungsfähige kreisangehörige Gemeinde,13
Q570116,Sehenswürdigkeit,2
Q85631896,kreisfreie Stadt in Bayern,13
Q19816359,Doppelzentrum,1
Q956214,Hauptort,1
Q34442,Straße,1
Q15253706,Stadt,2
Q11177275,Auwald,1
Q338112,Erholungsgebiet,2
Q2324919,Staatsforst,1
Q116621859,Große Kreisstadt in Baden-Württemberg,91
Q14829592,Haufendorf,1
Q37853,Barock,1
Q19953632,ehemalige gebietsmäßige Einheit,1
Q12076836,territoriale Verwaltungseinheit eines Landes,2
Q56061,administrativ-territoriale Entität,1
Q171441,Enklave,1
Q933394,Exklave,1
Q40131033,Mitgliedsstadt von Eurotowns,1
Q821435,Berliner Bezirk,12
